projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
152,48,Marsascala Penthouse Extension,  ,,,,Active,,,,
153,37,Sliema Apartment Block,  ,,,,Active,,,,
154,243,Bulebel Factory,  ,,,,Active,,,,
155,52,Fgura Residence Alterations,  ,,,,Active,,,,
156,288,Zabbar Apartment Block,  ,,,,Active,,,,
157,106,Fgura Residence Alterations,  ,,,,Active,,,,
158,49,Marsascala Residence Alterations,  ,,,,Active,,,,
159,43,Ta' Cassia Residential Development,  ,,,,Active,,,,
160,50,Zurrieq Terraced House,  ,,,,Active,,,,
161,233,Zurrieq Terraced House,  ,,,,Active,,,,
162,3,Marsascala Apartment Block,  ,,,,Active,,,,
163,52,St. Venera Alterations,  ,,,,Active,,,,
164,37,Tarxien Apartment Block,  ,,,,Active,,,,
165,107,Luqa Apartment Block Extension,  ,,,,Active,,,,
166,26,Fgura Residence Extension,  ,,,,Active,,,,
167,19,Marsascala Residence Amendments,  ,,,,Active,,,,
168,53,Valletta Residence Extension,  ,,,,Active,,,,
169,54,Tarxien Residence Extension,  ,,,,Active,,,,
170,55,Attard Apartment Block,  ,,,,Active,,,,
171,56,St. Paul's Bay Health Clinic / Apartment Block,  ,,,,Active,,,,
172,57,Mellieha Villa Development,  ,,,,Active,,,,
173,6,Marsaxlokk Fishfarm Shed Roofing,  ,,,,Active,,,,
174,52,Qala Terraced Houses,  ,,,,Active,,,,
175,58,Fgura Commercial Development,  ,,,,Active,,,,
176,59,Xhgajra Apartment Block,  ,,,,Active,,,,
177,60,Rabat Apartment Block,  ,,,,Active,,,,
178,61,Sliema Apartment Block,  ,,,,Active,,,,
179,62,Isla Apartment Block,  ,,,,Active,,,,
180,63,Santa Lucia Elevation Alterations,  ,,,,Active,,,,
181,64,Cospicua Residence Alterations,  ,,,,Active,,,,
182,65,Xemxija Aterations,  ,,,,Active,,,,
183,66,Burmarrad Garage Yard Roof,  ,,,,Active,,,,
184,67,Zabbar Apartment Yard Sanction,  ,,,,Active,,,,
185,60,Rabat Residence Elevation Alteration,  ,,,,Active,,,,
186,6,Oiltanking Tankfield 4B,  ,,,,Active,,,,
187,72,Zabbar Apartment Block,  ,,,,Active,,,,
188,44,Mellieha Apartment Block,  ,,,,Active,,,,
189,74,Sliema Apartment Block,  ,,,,Active,,,,
190,108,Ghaxaq Apartments,  ,,,,Active,,,,
191,109,Kirkop Residence,  ,,,,Active,,,,
192,110,Mosta Showroom,  ,,,,Active,,,,
193,111,Gudja Residence Alteration,  ,,,,Active,,,,
194,112,Sliema Garage Alteration,  ,,,,Active,,,,
195,113,Qrendi Building Demolition,  ,,,,Active,,,,
196,114,Tarxien Apartment Block,  ,,,,Active,,,,
197,115,Sewage Treatment Block  Ras ilHobz  Gozo,  ,,,,Active,,,,
198,116,Santa Lucia Residence Alterations,  ,,,,Active,,,,
199,65,Naxxar Residential,  ,,,,Active,,,,
200,29,Construction of Hangar and Ancillary Faclities,  ,,,,Active,,,,
201,117,B'bugia Apartment Block Alterations,  ,,,,Active,,,,
202,118,Birkirkara Apartment Block,  ,,,,Active,,,,
203,119,Zabbar Apartment Block,  ,,,,Active,,,,
204,120,Bahrija Terraced House,  ,,,,Active,,,,
205,107,Luqa Woodworks Workshop,  ,,,,Active,,,,
206,8,Zejtun House of Character,  ,,,,Active,,,,
207,121,Zabbar Terraced House,  ,,,,Active,,,,
208,122,Marsascala Maisonette Extension,  ,,,,Active,,,,
209,123,Sliema Facade Alteration,  ,,,,Active,,,,
210,124,Marsaxlokk Apartment Block,  ,,,,Active,,,,
211,125,Apartment Structural Consultancy,  ,,,,Active,,,,
212,126,Rabat Amendments,  ,,,,Active,,,,
213,130,Ghaxaq Reservoir,  ,,,,Active,,,,
214,323,Ta' Xbiex Alterations,  ,,,,Active,,,,
