projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
454,272,Tigne T10 Inspections,  ,,,,Active,,,,
455,275,Life Sciences Finishes,  ,,,,Active,,,,
456,8,Zejtun Retail Unit,  ,,,,Active,,,,
457,276,Paola Residence Sanction,  ,,,,Active,,,,
458,277,Rabat Veduta Alterations,  ,,,,Active,,,,
459,278,Gzira Bank Branch,  ,,,,Active,,,,
460,66,Gozo Waste Plant,  ,,,,Active,,,,
461,1,Bighi Science Centre,  ,,,,Active,,,,
462,66,Salina Road Works,  ,,,,Active,,,,
463,279,Attard PV Panels Installation,  ,,,,Active,,,,
464,280,Marsa Residence Alterations,  ,,,,Active,,,,
465,281,Gzira Office Block,  ,,,,Active,,,,
466,284,Delimara Powerplant,  ,,,,Active,,,,
467,282,Senglea Residence Alterations,  ,,,,Active,,,,
468,26,Fgura Raft Construction,  ,,,,Active,,,,
469,272,Tigne Extension to Pool Deck,  ,,,,Active,,,,
470,37,Baystreet Extension,  ,,,,Active,,,,
471,200,Portal Frame,  ,,,,Active,,,,
472,281,Luqa Warehouse Development,  ,,,,Active,,,,
473,283,Attard Villa Alterations,  ,,,,Active,,,,
474,6,St.Julians Development,  ,,,,Active,,,,
475,284,Delimara Jetty,  ,,,,Active,,,,
476,285,Safi Hangar Facility,  ,,,,Active,,,,
477,220,Baypoint Hotel Development,  ,,,,Active,,,,
478,286,M'Scala Extension to Villa,  ,,,,Active,,,,
479,170,Ramla Bay Hotel,  ,,,,Active,,,0.25,0.25
480,308,Lufthansa PV Panels,  ,,,,Active,,,,
481,170,Mosta Showroom,  ,,,,Active,,,,
482,84,AFM Hangar,  ,,,,Active,,,,
483,284,M'Xlokk Dolphin Removal,  ,,,,Active,,,,
484,289,Ghasri Apartments Structural Reports,  ,,,,Active,,,,
485,290,Qawra Apartment Amendent,  ,,,,Active,,,,
486,291,Birzebbugia Apartment Sanction,  ,,,,Active,,,,
487,273,T17 West,  ,,,,Active,,,,
488,275,MIDI Q1,  ,,,,Active,,,,
489,293,Swieqi Flat Inspection,  ,,,,Active,,,,
490,214,Eurocode Committee,  ,,,,Active,,,,
491,1,Metropolis Development,  ,,,,Active,,,,
492,294,Balzan Townhouse,  ,,,,Active,,,,
493,1,MDH Extension,  ,,,,Active,,,,
494,37,Qawra Apartment Block,  ,,,,Active,,,,
495,281,Luqa Warehouse Alterations,  ,,,,Active,,,,
496,284,Delimara Firestation Demolition and Relocation,  ,,,,Active,,,,
497,37,Birzebbugia Residence,  ,,,,Active,,,,
498,292,Subcontracting,  ,,,,Active,,,,
499,1000,Cobalt House Administration,  ,,,,Active,,,,
500,29,Luqa Hangar Maintenance,  ,,,,Active,0.25,0.25,0.25,0.25
501,37,Mosta Residence Alterations,  ,,,,Active,,,,
502,6,PPB2014,  ,,,,Active,,,,
503,284,Enemalta Cesspit Relocation,  ,,,,Active,,,,
504,296,St Pauls Bay Residence,  ,,,,Active,,,,
505,297,San Antonio Finishes,  ,,,,Active,,,,
506,298,MFSA Real Estate Appraisal,  ,,,,Active,,,,
507,37,Msida Development,  ,,,,Active,,,,
508,200,Safi MRO Facility,  ,,,,Active,,,,
509,1,Mellieha Polishing Plant,  ,,,,Active,,,,
510,200,MCM Hangar,  ,,,,Active,,,,
511,222,Rabat Residence Alterations,  ,,,,Active,,,,
512,299,Qawra Flat,  ,,,,Active,,,,
513,300,Safi Residence Minor Alterations,  ,,,,Active,,,,
514,220,Island Hotel Valuations,  ,,,,Active,,,,
515,1,Xghajra Polishing Plant,  ,,,,Active,,,,
516,301,Zurrieq Terraced House,  ,,,,Active,,,,
517,310,Mater Dei Hospital,  ,,,,Active,,,,
518,302,Burmarrad Winery,  ,,,,Active,,,,
519,37,Paceville Chapel Development,  ,,,,Active,,,,
520,303,Smart Development,  ,,,,Active,0.25,0.25,0.25,0.25
521,304,Marsa Warehouse,  ,,,,Active,,,,
522,305,Marsa Offices Extension,  ,,,,Active,,,,
523,306,Paola Development,  ,,,,Active,,,,
524,37,San Pawl tatTarga Apartment Block,  ,,,,Active,,,,
525,307,Zejtun Residence Extension,  ,,,,Active,,,,
526,6,Qawra Billboards,  ,,,,Active,,,,
527,6,Attard Residential Development,  ,,,,Active,,,,
528,19,B'Bugia Residential Block,  ,,,,Active,,,,
529,1000,St.Luke's Dermatology Unit,  ,,,,Active,,,,
530,35,US Embassador Residence,  ,,,,Active,,,,
531,311,M'Scala Residence Alteration,  ,,,,Active,,,,
532,312,Balzan Residential Block,  ,,,,Active,,,,
533,313,Zurrieq Residence Alterations,  ,,,,Active,,,,
534,314,Gasan Door Widening,  ,,,,Active,,,,
535,315,Sliema pharmacy Alteration,  ,,,,Active,,,,
536,222,Malta Road Embellishment,  ,,,,Active,,,,
537,317,Kappara Junction,  ,,,,Active,,,,
538,8,Qormi Commercial Outlet,  ,,,,Active,,,,
539,318,Gozo Terminal,  ,,,,Active,,,,
540,6,PPB 2015,  ,,,,Active,,,,
541,319,Zejtun Residence Alterations,  ,,,,Active,,,,
542,226,Burmarrad Piscopo Gardens Sanction,  ,,,,Active,,,,
543,275,MIDI Q2,  ,,,,Active,,,,
544,220,Ghajntuffieha Radisson Golden Sands Modifications,  ,,,,Active,,,,
545,163,Valletta Offices,  ,,,,Active,,,,
546,320,Qawra Construction Block,  ,,,,Active,,,,
547,352,St.Luke's Hospital,  ,,,,Active,,,,
548,222,Mount Carmel,  ,,,,Active,,,,
549,200,B'Kara Office Block,  ,,,,Active,0.25,0.25,0.25,0.25
550,29,Luqa Hangar 4 Extension,  ,,,,Active,,,,
551,281,Qormi Apartment Block,  ,,,,Active,,,,
552,113,Qrendi Maisonette,  ,,,,Active,,,,
553,322,Tarxien Residence Extension,  ,,,,Active,,,,
554,231,Madliena Villa Basement,  ,,,,Active,,,,
555,200,Delimara Powerstation Steel Structures,  ,,,,Active,,,,
556,37,Qawra Apartment Block,  ,,,,Active,,,,
557,66,Ghallis Roadwork,  ,,,,Active,,,,
558,231,Valletta Alterations,  ,,,,Active,,,,
559,324,Hamrun Residence Alterations,  ,,,,Active,,,,
560,325,Mount Carmel Hospital,  ,,,,Active,,,,
561,231,Marsa Timber Wharf Stores Alterations,  ,,,,Active,,,,
562,326,Kordin Oil Tanking,  ,,,,Active,,,,
563,303,Smart site selection exercise,  ,,,,Active,,,,
564,327,Q1 Penthouses,  ,,,,Active,,,,
565,352,Gozo Hospital,  ,,,,Active,,,,
566,37,Lija Aprt Block,  ,,,,Active,,,,
567,321,Pitkalija,  ,,,,Active,,,,
568,200,GMangia Residential Block,  ,,,,Active,0.5,0.5,,
569,328,Qawra Villa Extension_Edward Flores,  ,,,,Active,,,,
570,329,St.Venera Sanctioning Apartment,  ,,,,Active,,,,
571,330,Naxxar Penthouse Extension,  ,,,,Active,,,,
572,6,Aquarium Jetty Walkaway,  ,,,,Active,,,,
573,331,MDH Carpark,  ,,,,Active,,,,
574,322,Tarxien Residence Alterations,  ,,,,Active,,,,
575,180,Mriehel Office Towers,  ,,,,Active,,,,
576,37,Mellieha Apartment Block,  ,,,,Active,,,,
577,332,Rabat Villa,  ,,,,Active,,,,
578,333,B'Kara Showroom Investigation,  ,,,,Active,,,,
579,281,Hal Farrug Trailer Park,  ,,,,Active,,,,
580,338,Barracuda Restaurant,  ,,,,Active,,,,
581,200,Qawra Apartments,  ,,,,Active,,,,
582,200,G'Mangia Hill Aprt Block,  ,,,,Active,0.5,0.5,,
583,19,Zabbar Apartment Block,  ,,,,Active,,,,
584,248,Mriehel Office Block,  ,,,,Active,,,,
585,265,Mriehel Office Interior Design,  ,,,,Active,,,,
586,336,Mosta Apartment Block,  ,,,,Active,,,,
587,209,Taxiway Extension,  ,,,,Active,,,,
588,337,Zejtun Residence Amendments,  ,,,,Active,,,,
589,320,Xemxija Restaurant,  ,,,,Active,,,,
590,286,Xemxija Apartment Block,  ,,,,Active,,,,
591,6,Elbros PPB2016,  ,,,,Active,,,,
592,339,Paola Proposed dwelling,  ,,,,Active,,,,
593,340,Iklin Internal Alterations,  ,,,,Active,,,,
594,341,Zejtun Apartment Block,  ,,,,Active,,,,
595,342,SRT Storage,  ,,,,Active,,,,
596,246,Kappara Junction Appraisal,  ,,,,Active,,,,
597,278,Sliema Preluna BOV Branch Refurbishment,  ,,,,Active,,,,
598,200,St.Paul's Bay Apartments,  ,,,,Active,,,,
599,343,Joinwell,  ,,,,Active,,,,
600,200,Qormi Showroom,  ,,,,Active,,,,
601,344,Hal Far Printing Factory,  ,,,,Active,,,,
602,345,WTP Mellieha Structural Appraisal,  ,,,,Active,,,,
603,346,Fgura Terraced House,  ,,,,Active,,,,
604,200,Qawra Apartment Block (2),  ,,,,Active,,,,
605,200,Qawra Apartment Block (3),  ,,,,Active,,,,
606,29,LTM Roof,  ,,,,Active,,,,
607,347,Rabat Residence,  ,,,,Active,,,,
608,348,Melita Antannae Installations,  ,,,,Active,,,,
609,342,Safi,  ,,,,Active,,,0.25,0.75
610,349,Paceville Demolition,  ,,,,Active,,,,
611,278,Has Saptan Fuel Depot,  ,,,,Active,,,,
612,350,Sliema Townhouse,  ,,,,Active,,,,
613,326,HasSaptan,  ,,,,Active,,,,
614,351,Valletta Grand Habour,  ,,,,Active,,,,
615,286,M'Scala Apartment Block,  ,,,,Active,,,,
616,286,M'Scala Duplexes,  ,,,,Active,,,,
617,352,Gozo Anatomy,  ,,,,Active,,,,
618,353,Qormi Block,  ,,,,Active,,,,
619,19,M'Scala Apartment Block,  ,,,,Active,,,,
620,354,Gudja Maisonette,  ,,,,Active,,,,
621,356,Zejtun House of character sanctioning,  ,,,,Active,,,,
622,357,Mellieha Holiday Complex,  ,,,,Active,,,,
623,352,St.Luke's Medical school,  ,,,,Active,,,,
624,358,M'Scala Extension,  ,,,,Active,,,,
625,200,Marsa TEC Warehouse aliterations,  ,,,,Active,,,,
626,359,Ta Qali Crafts Village,  ,,,,Active,,,,
627,360,St.Vincent de paul,  ,,,,Active,,,,
628,200,St.Julians Aparment Block,  ,,,,Active,0.5,0.5,,
629,355,Rabat Alterations,  ,,,,Active,,,,
630,281,Luqa Enviornmental Permit,  ,,,,Active,,,,
631,361,Zabbar Extension,  ,,,,Active,,,,
632,29,LTM New Hangar,  ,,,,Active,,,,
633,362,Qormi Maisonette Sanctioning,  ,,,,Active,,,,
634,180,Marsa PBB Tender,  ,,,,Active,,,,
635,281,Logistic Centre,  ,,,,Active,,,,
636,363,Qrendi penthouse extension,  ,,,,Active,,,,
637,272,Manoel Island,  ,,,,Active,,,,
638,364,Fgura Dwelling Regularisation,  ,,,,Active,,,,
639,200,Valletta Bastions Canopy,  ,,,,Active,,,,
640,209,Airfield masterplan,  ,,,,Active,,,,
641,278,Slimea BOV New branch,  ,,,,Active,0.25,0.25,0.25,0.25
642,365,Selmun Project,  ,,,,Active,1,,,
643,366,B'Bugia Sanctioning,  ,,,,Active,1,,,
644,367,Mriehel Towers,  ,,,,Active,,,,1
645,200,Hal Far Canopy,  ,,,,Active,,1,,
646,357,MHC Restaurant Refurbishment,  ,,,,Active,,,,1
647,352,SLH  PM,  ,,,,Active,,,0.5,0.5
648,342,SRT Temporary Hangar,  ,,,,Active,,,,1
649,209,RWY2305 Taxiway Link,  ,,,,Active,0.25,0.25,0.25,0.25
650,368,Kirkop Tunnel Structural Survey,  ,,,,Active,,1,,
651,369,Malta Dairy Products,  ,,,,Active,1,,,
652,200,Zebbiegh Structural Design,  ,,,,Active,,1,,
653,370,Vista Jet,  ,,,,Active,0.25,0.25,0.25,0.25
654,19,Zejtun Aprt Block,  ,,,,Active,0.5,0.5,,
655,371,B'Kara Garage,  ,,,,Active,1,,,
656,372,Attard Villa,  ,,,,Active,1,,,
657,373,Valletta King's Own Band Club,  ,,,,Active,,1,,
658,189,Bulebel Factory BLB027A Refurbishment,  ,,,,Active,0.5,0.5,,
659,374,Mellieha Bay Hotel,  ,,,,Active,,,,1
660,281,Qormi warehouse alterations,  ,,,,Active,1,,,
661,281,Luqa additional office floor,  ,,,,Active,1,,,
662,248,Rabat Cosmana Navarro Restaurant,  ,,,,Active,1,,,
663,375,Iklin Sanctioning,  ,,,,Active,1,,,
664,376,Technical Centre, MFA Training Grounds ,Ta' Qali,,Malta,Active,0.25,0.25,,0.5
665,352,Gozo General Hospital  PM,  ,,,,Active,,,0.5,0.5
666,8,Zejtun Residence,  ,,,,Active,0.5,0.5,,
667,84,Blata lBajda Bridge,  ,,,,Active,,1,,
668,377,Airmalta Offices,  ,,,,Active,1,,,
669,378,Skyparks 2,  ,,,,Active,1,,,
670,382,Fgura Residence,  ,,,,Active,1,,,
671,380,LImselliet Mgarr Land Alterations,  ,,,,Active,1,,,
672,379,St.Julians Hotel,  ,,,,Active,,0.5,0.25,0.25
673,381,G'Mangia DNO,  ,,,,Active,1,,,
674,383,St.Luke's Hospital, Site Luke's Hospital G'Mangia Hill,Pieta',PTA 1312,,Active,,,0.5,0.5
675,200,City Lights Office Block,  ,,,,Active,0.5,0.5,,
676,200,G'Mangia reconstruction,  ,,,,Active,,1,,
677,272,T10 Level 10,  ,,,,Active,,1,,
678,272,Structural repairs in external areas,  ,,,,Active,,1,,
679,384,Debono Group Offices,  ,Zebbug,,,Active,1,,,
680,209,Gozo Airstrip,  ,,,,Active,,,,1
681,385,Apron4 Multi Level Car Park,  ,,,,Active,0.5,0.5,,
682,84,AFM Hangar,,Kirkop,,Malta,Active,,,,
683,389,Gasco PV  Farm,,Birzebbugia,BBG 3011,Malta,Active,,,,
684,272,T12 Glacis Repairs, Tigne Point ,Sliema,,Malta,Active,,,,
685,84,Lift Structure_Baystreet,,St. Julians,,Malta,Active,,,,
686,180,Ship to Shore high voltage system,,Various,,Malta,Active,,,,1
687,369,Feed Mill & Dairy Facility,,Luqa,,Malta,Active,1,,,
688,281,Commercial Development,,Qormi,,Malta,Active,,,,1
689,386,Car Park, TaxXhajma  ,,,Gozo,Active,,1,,
690,387,Roadworks  Luqa flyover and underpass,,Luqa,,Malta,Active,,1,,
691,388,House of Character,,Lija,,Malta,Active,,1,,
692,390,New Production Facility for Oncology Products, Pharos ,Hal Far,,Malta,Active,,,,1
693,342,PV Panels,,,,Malta,Active,1,,,
694,281,Erection of Photovoltaic Canopy,,Hal Far,,Malta,Active,1,,,
695,281,Alterations to existing warehouse, ShipLowCost Warehouse ,Luqa,,Malta,Active,0.5,0.5,,
696,389,Alterations to LPG Storage & Bottling Plant,,Birzebbugia,BBG 3011,Malta,Active,0.5,0.5,,
697,391,Alterations to maisonette,123 Golden Plover Birkirkara Road ,San Gwann,SGN 2801,Malta,Active,0.5,0.5,,
698,384,Proposed Servicing Centre,,Zebbug,,Malta,Active,0.5,0.5,,
699,200,Footloose Project (Fabrication Drawings), FootLoose Empire Hotel ,Paceville,,Malta,Active,,1,,
700,272,Manoel Island, Manoel Island ,Gzira,,Malta,Active,0.5,0.5,,
701,303,Smart Mall Project 3D Model,,B'Kara,,Malta,Active,1,,,
702,392,IAS Office Refurbishment,Level 4 Cobalt House Notabile Road ,Mriehel.,BKR3000,Malta,Active,1,,,
703,84,Ta' Qali Concert Area,,Ta' Qali,,Malta,Active,,1,,
704,393,Sanctioning of Maisonette,,Marsaskala,,Malta,Active,1,,,
705,394,Sliema  Valletta Bridge,,,,Malta,Active,,1,,
706,395,Marina Herculis,,Marsaxlokk,,Malta,Active,1,,,
707,84,Msida Creek Junction,,Msida,,Malta,Active,,1,,
708,84,MCP Carpark Bridges,,,,Malta,Active,,1,,
709,376,Ta' Qali Stadium Canopy,,Ta'Qali,,Malta,Active,,1,,
710,368,Relocation of MIA cables at Taxiway Lima,,MIA,,Malta,Active,,,1,
711,281,Proposed LED screen,,Luqa,,Malta,Active,1,,,
712,84,Spiral Staircase, Maritime Museum ,Birgu,,Malta,Active,,1,,
713,281,Valuations Various Sites,,,,Malta,Active,,,,1
714,180,Apron X,,,,Malta,Active,,,,1
715,200,Proposal for New Factory,,Hal Far,,Malta,Active,0.25,0.25,0.25,0.25
716,84,Tender, Marsa Sports Club ,Marsa,,Malta,Active,,1,,
717,396,Alterations to existing town house, St Mary House Triq ilKottonera & Sqaq ta' Frakass,Birgu,,Malta,Active,0.5,0.5,,
718,397,Maghtab Waste to Energy,,,,Malta,Active,1,,,
719,209,Luqa Dump,,Luqa,,Malta,Active,1,,,
720,398,Regularisation of duplex unit,Flat 5 15 St Helena Triq ilKubrit,Gzira,,Malta,Active,1,,,
721,399,Change of Use from Storage to Convenience Shop,Garage 4  Annetto Caruana Street,Qawra,,Malta,Active,1,,,
722,384,Offices in Kordin,,Kordin,,Malta,Active,1,,,
723,384,Change of use of Shop in Sliema,,Sliema,,Malta,Active,1,,,
724,84,Sport Facility, Maria Assunta ,Hamrun,,Malta,Active,,1,,
725,66,MIA Warehouse,,,,Malta,Active,,,,1
726,400,Valletta Ferry Quarry Wharf,,,,Malta,Active,1,,,
727,384,New Toyota Premises (ex TOM), The Times of Malta Triq LIntornjatur  Zone 1  Central Business District ,Birkirkara,CBD 1050,Malta,Active,0.5,0.5,,
728,380,Sanctioning of Garage,152  Triq icCawsli,Qormi,,Malta,Active,1,,,
729,393,Apartment Block in Gudja,17  Triq ilPalazz,Gudja,,Malta,Active,0.5,0.5,,
730,258,Apartment Blk,104/106  Triq Matteolo Saliba,Zurrieq,,Malta,Active,0.5,0.5,,
731,403,Trelleborg Manufacturing Campus,,,,Malta,Active,,,,1
732,404,Works at MCC, MCC ,Valletta,,Malta,Active,0.5,0.5,,
733,200,Dingli Sports Complex,,Dingli,,Malta,Active,1,,,
734,369,New Factory in Luqa,,Luqa,,Malta,Active,1,,,
735,180,Pinto Quays 4 & 5 Project,,,,Malta,Active,,,,1
736,407,Organic Plant,,,,Malta,Active,1,,,
737,406,Sacred Heart School,,San Giljan,,Malta,Active,1,,,
738,405,Alterations to House of Character,20  Triq Santa Katerina,Qrendi,,Malta,Active,0.5,0.5,,
739,180,St Julian's Eden Leisure Hotel,,St Julian's,,Malta,Active,,,,1
740,84,Gantry Crane Structure, Baxter ,Marsa,,Malta,Active,,1,,
741,84,Skylight Manoel Theatre, Manoel Theatre ,Valletta,,Malta,Active,,1,,
742,248,Ta' Qali Development,,Ta' Qali,,Malta,Active,1,,,
743,394,Foster Clark Factory Extension, UB 50  Industrial Estate ,San Gwann,,Malta,Active,,1,,
744,408,Internal Alterations,Flat 2 No 6 Triq Plajjet Bognor,Bugibba,,Malta,Active,1,,,
745,409,T14 Mezzanine,,Sliema,,Malta,Active,,1,,
746,189,BLB027A Bulebel Extension,BLB027A  ,Bulebel,,Malta,Active,1,,,
747,410,Site at Burmarrad,,,,Malta,Active,1,,,
748,411,Extension to existing Petnutrition Factory,SUB034E Pet Nutrition House Ltd Triq tazZwejt  Industrial Estate ,San Gwann,SGN 3000,Malta,Active,1,,,
749,412,Dangerous Structures,78 Casa Grimmut Triq Bir irRiebu,Rabat,,Malta,Active,,1,,
750,66,Ta' Qali Car Park,,Ta' Qali,,Malta,Active,,1,,
751,200,Villa at Ibragg,,Madliena,,Malta,Active,0.5,0.5,,
752,413,Comino Hotel & Bungalows,  Gzira ta' Kemmuna,Kemmuna,,Malta,Active,,,,1
753,200,Tarxien Development,,,,Malta,Active,1,,,
754,66,Storage Plant,,Mellieha,,Malta,Active,1,,,
755,414,Sanctioning of Terraced House,,Sta Lucija,,Malta,Active,1,,,
756,84,BIM Gantry Extension Hal Far,,Hal Far,,Malta,Active,,1,,
757,1,HalFar Warehouse,,Hal Far,,Malta,Active,,1,,
758,1,Life Sciences,,San Gwann,SGN 3000,Malta,Active,,1,,
759,84,Steel Hangar in Libya,,Libya,,Libya,Active,,1,,
760,415,PX Tower,  Harruba 1& 2 Garage 5 &6 Triq Santu Wistin and 5  9  10 & 11 Triq Elija Zammit,San Giljan,,Malta,Active,,,,1
761,385,ST Microelectronics,,Kirkop,,Malta,Active,,1,,
762,416,Apartment Blk in Siggiewi, Site at Ta' lGhasfur Triq Nikolo Baldacchino c/w Triq inNirien,Siggiewi,,Malta,Active,1,,,
763,413,212213 St Paul's Street  Valletta,212213  St Paul's Street,Valletta,,Malta,Active,,,,1
764,368,Apron 2 Pavement,,,,Malta,Active,,1,,
765,200,Staircase at St Michael School,,Pembroke,PBK 1772,Malta,Active,,1,,
766,66,Paolo Rugby Football Ground,,,,Malta,Active,,1,,
767,394,Steel Bridge  Bay Street,,,,Malta,Active,,1,,
768,369,Marsa New KPH Plant,,Marsa,,Malta,Active,1,,,
769,417,Charger Infrastructure Project Phase 1,,,,Malta,Active,,,,1
770,418,Mediation Report for Buqana Road Works,,Buqana l/o Mtarfa,,Malta,Active,,,,1
771,351,CarPark  Coal Wharf  Paola,,Paola,,Malta,Active,0.5,0.5,,
772,419,Delay Analysis,,,,Malta,Active,,,,1
773,394,Lidl Zebbug Tender,,Zebbug,,Malta,Active,,1,,
774,286,Reactivation of Permit Restaurant at M'Scala,,M'Scala,,Malta,Active,1,,,
775,413,Restoration of Vaulted Store,16  Barrier Wharf,Valletta,,Malta,Active,0.5,0.5,,
776,66,Carmelo Abela Warehouse,,,,Malta,Active,,1,,
777,420,Waste to Energy  Maghtab Eco Hire,,Maghtab,,Malta,Active,1,,,
778,421,New Houses in Naxxar,,Naxxar,,Malta,Active,0.5,0.5,,
779,200,Qormi Apartment Block,,Qormi,,Malta,Active,0.5,0.5,,
780,413,PM Services for villa refurbishment,1 Villa Saghtar Ta' Cenc,Sannat,,Malta,Active,,,,1
781,422,Structural Services for PWC/Alter Domus Daycare,,Attard,,Malta,Active,,1,,
782,413,Evans Building Refurbishment,,Valletta,,Malta,Active,1,,,
783,423,Apartment Block at Sta Lucija,,Sta Lucija,,Malta,Active,,1,,
784,424,Structural & Alterations + Fitting Out,,Valletta,,Malta,Active,,,,1
785,424,Project Management, Hugo Boss Mercury Project ,,,Malta,Active,,,,1
786,277,Danger Structure,,,,Malta,Active,,1,,
787,425,Birzebbugia Pipeline Structure,,Birzebbugia,,Malta,Active,,1,,
788,426,Pavajun BGA,,,,Malta,Active,,1,,
789,84,St Agustine Roof,,G'Mangia,,Malta,Active,,1,,
790,84,Carmelo Abela Warehouse,,,,Malta,Active,,1,,
791,200,Elevation MIDI Q3,,,,Malta,Active,,1,,
792,423,Apartment Blk in Naxxar,,Naxxar,,Malta,Active,0.5,0.5,,
793,427,MIA VIP Terminal, MIA ,Luqa,,Malta,Active,,1,,
794,428,Paola Square Paving Report,,Paola,,Malta,Active,,,,1
795,413,House at Sannat,,Sannat,,Malta,Active,,,,1
796,423,Qawra Apartment Block,,Qawra,,Malta,Active,0.5,0.5,,
797,84,Siegfried Loading Bay,,Hal Far,,Malta,Active,,1,,
798,423,Sliema Apartment Block,,Sliema,,Malta,Active,0.5,0.5,,
799,429,House Extension  Tarxien,1  Triq lAssedju lKbir,Tarxien,,Malta,Active,0.5,0.5,,
800,84,Quintano Foods Ltd,,TalHandaq,,Malta,Active,,1,,
801,209,SME Park Hal Far,,Hal Far,,Malta,Active,0.25,0.25,,0.5
802,66,Resurfacing of RWay 2305, Rway 2305 Malta International airport,Luqa,,Malta,Active,,,,1
803,423,Quarry Steel Structure,,Siggiewi,,Malta,Active,,1,,
804,423,Apartment Blk in Swieqi,,Swieqi,,Malta,Active,0.5,0.5,,
805,430,White Rocks,,,,Malta,Active,,,,1
806,394,Gasan Mriehel Car Park,,Mriehel,,Malta,Active,,1,,
807,431,Consolidated Biscuits,,,,Malta,Active,,,,1
808,432,Alterations to Town House,17  St Anthony Street,Tarxien,,Malta,Active,,,,1
809,413,Restoration & Modifications to existing building  Boutique Hotel,,Valletta,,Malta,Active,,,,1
810,433,Villa at Sta Marija Estate,,Mellieha,,Malta,Active,1,,,
811,84,Hal Saptan Enemed Tender,,,,Malta,Active,,,,1
812,384,New Toyota Premises (ex Honda),  Triq itTuritorials c/w Triq lIntornjatur  Mriehel By Pass,Birkirkara,,Malta,Active,0.25,0.25,0.25,0.25
813,428,Pjazza Bugibba,,Bugibba,,Malta,Active,,,,1
814,84,Strickland Stairs,,,,Malta,Active,,1,,
815,1,HSBC PV Panel Canopy,,Qormi,,Malta,Active,,0.5,,0.5
816,386,Various Works at tasSeqer Reservoir,,Kercem,,Malta,Active,,1,,
817,423,Qormi Office Block,,Qormi,,Malta,Active,,1,,
818,434,Luqa Homistic Rooms,,Luqa,,Malta,Active,0.5,0.5,,
819,379,ViVo Project,,,,Malta,Active,,0.5,,0.5
820,84,Warehouses,,Maghtab,,Malta,Active,,1,,
821,435,Apartment Block at Mosta,,Mosta,,Malta,Active,0.5,0.5,,
822,84,Steel Bridges & Staircases, Concert Area Ta' Qali National Park,Ta' Qali,,Malta,Active,,1,,
823,436,Shipyard Complex,,Kordin,,Malta,Active,0.5,0.5,,
824,428,Technical Report on Road Subsidence,,Mqabba,,Malta,Active,,1,,
825,436,Bulebel Workshop Facilities,,Bulebel Ind Estate,,Malta,Active,0.5,0.5,,
826,368,Meteorological Buoy,,St Paul's Bay,,Malta,Active,1,,,
827,436,New Factory,,,,Malta,Active,1,,,
828,436,Factory at Misrata,,,,Libya,Active,1,,,
829,84,Relocation & Extension of Composting Shed,,Maghtab,,Malta,Active,,1,,
830,437,Msida Creek,,Msida,,Malta,Active,,,,1
831,273,Product Design,,,,Malta,Active,,1,,
832,84,Steel Bridge Verdala Hotel, Verdala Hotel ,Rabat,,Malta,Active,,1,,
833,84,Lift Structure Iniala Hotel,10 Iniala Harbour House St Barbara Bastion,Valletta,VLT 1961,Malta,Active,,1,,
834,438,Erection of Commercial Block,,Qormi,,Malta,Active,1,,,
835,439,Hotel at St Paul's Bay,,St Paul's Bay,,Malta,Active,0.5,0.5,,
836,423,Site at Mqabba,,Mqabba,,Malta,Active,1,,,
837,29,LTM New Hanger,,,,Malta,Active,0.25,0.25,0.25,0.25
838,413,Restaurant,,Marsascala,,Malta,Active,0.25,0.25,,0.5
839,440,Wied Ghomor Regeneration,,St Julian's,,Malta,Active,1,,,
840,441,Steel Canopy,,Birkirkara,,Malta,Active,0.5,0.5,,
841,442,Kordin Factory,,Kordin,,Malta,Active,0.5,0.5,,
842,200,DB Towers  St Julians,,St Julians,,Malta,Active,,1,,
843,427,Consultation re MIA Canopy,,Luqa,,Malta,Active,,,,1
844,443,Mriehel Factory,,Mriehel,,Malta,Active,0.5,0.5,,
845,272,T10 Lift Alteration,,Tigne,,Malta,Active,,1,,
846,272,T12 Pool Repair Works,,Tigne,,Malta,Active,,1,,
847,444,Giorgior Apartments,,Sliema,,Malta,Active,,1,,
848,72,KK3  Kirkop,,Hal Kirkop,,Malta,Active,,,,1
849,84,ST  HalKirkop,,Hal Kirkop,,Malta,Active,1,,,
850,385,Nexus Luqa Factory Survey,,Luqa,,Malta,Active,,,,1
851,84,Freeport Steel Canopy,,Birzebbuga,BBG3011,Malta,Active,,1,,
852,84,Farmer's Market  Ta' Qali,,Ta' Qali,,Malta,Active,,1,,
853,200,Ta' Xbiex Apartments,,Ta' Xbiex,,Malta,Active,0.5,0.5,,
854,436,Marsa Marine Hub,,Marsa,,Malta,Active,1,,,
855,444,Birkirkara House Alterations,,Birkirkara,,Malta,Active,,1,,
856,445,Property at Sta Lucija,,Sta Lucija,,Malta,Active,0.5,0.5,,
857,200,Las Terrazzas  Xemxija,,Xemxija,,Malta,Active,,1,,
858,200,Paola Apratment Blk,,Paolo,,Malta,Active,0.5,0.5,,
859,200,Msida Bocci Club,,Msida,,Malta,Active,1,,,
860,413,McDonald's Mriehel Outlet,,Mriehel,,Malta,Active,0.5,0.5,,
861,415,Proposed Warehouses & Offices,,Burmarrad,,Malta,Active,1,,,
862,84,Steel Canopy Siggiewi,,Siggiewi,,Malta,Active,,1,,
